爱好	sở thích
闭幕	bế mạc
闭幕式	lễ bế mạc
边境	biên giới
编辑	biên tập
变动	thay đổi
便利	tiện lợi
便条	mảnh giấy nhắn
便于	tiện cho
宾馆	khách sạn
饼干	bánh quy
病毒	vi rút
玻璃	kính / thủy tinh
博客	blog
博览会	hội chợ triển lãm
博士	tiến sĩ
博物馆	bảo tàng
薄弱	yếu ớt
不顾	bất chấp
不利	bất lợi
不耐烦	mất kiên nhẫn
不幸	bất hạnh
不易	không dễ
补偿	bồi thường
补贴	trợ cấp
不曾	chưa từng
不得了	kinh khủng / vô cùng
不敢当	không dám nhận
不良	không tốt / xấu
不免	khó tránh khỏi
不能不	không thể không
不时	thỉnh thoảng
不停	không ngừng
不许	không được phép
不止	không chỉ / hơn
不足	không đủ / thiếu
部位	vị trí (bộ phận)
猜测	đoán / suy đoán
裁判	trọng tài / phán quyết
采购	thu mua
彩票	vé số
餐馆	quán ăn
餐厅	nhà hàng
餐饮	ăn uống
草原	thảo nguyên
层次	tầng bậc / cấp độ
叉子	cái nĩa
差别	sự khác biệt
差距	khoảng cách
查询	tra cứu
拆除	phá dỡ
产业	ngành / sản nghiệp
长度	chiều dài
长寿	trường thọ
尝试	thử / thử nghiệm
厂长	giám đốc nhà máy
场面	cảnh tượng
倡导	khởi xướng
超越	vượt qua
车主	chủ xe
称号	danh hiệu
成本	giá thành
成交	giao dịch thành công
成效	hiệu quả
成语	thành ngữ
承办	đảm nhận tổ chức
乘车	đi xe
乘客	hành khách
乘坐	đi (bằng phương tiện)
吃力	vất vả / tốn sức
池子	cái ao / bể
冲动	bốc đồng
冲突	xung đột
充足	đầy đủ / dồi dào
出版	xuất bản
出差	đi công tác
出汗	đổ mồ hôi
出于	xuất phát từ
初期	giai đoạn đầu
除非	trừ phi
除夕	giao thừa
厨房	nhà bếp
处罚	xử phạt
处分	kỷ luật
处在	ở vào (tình trạng)
传达	truyền đạt
传递	truyền đi
传真	fax
窗帘	rèm cửa
创立	sáng lập
辞典	từ điển
辞职	từ chức
此后	từ đó về sau
此刻	lúc này
此时	lúc này
聪明	thông minh
从而	nhờ đó / do đó
从中	từ trong đó
存款	tiền gửi ngân hàng
达成	đạt được
答复	trả lời / phúc đáp
打扮	trang điểm / ăn diện
打包	đóng gói
打击	đánh / tấn công
打架	đánh nhau
打扰	làm phiền
大胆	táo bạo
大都	phần lớn / đa số
大纲	đề cương
大伙儿	mọi người
大奖赛	giải Grand Prix
大脑	não bộ
大事	việc lớn / đại sự
大厅	sảnh lớn
大象	con voi
大熊猫	gấu trúc lớn
大于	lớn hơn
大致	đại khái / khoảng
代价	cái giá phải trả
代理	đại lý / thay mặt
带有	mang tính / có
贷款	khoản vay
单一	đơn nhất / duy nhất
胆小	nhát gan
蛋糕	bánh kem
当场	ngay tại chỗ
当代	đương đại
当年	năm đó / hồi đó
当前	hiện tại / trước mắt
当选	trúng cử
到来	đến / tới
倒是	lại / ngược lại
道德	đạo đức
得了	được rồi / thôi được
得以	nhờ đó có thể
等候	chờ đợi
等级	cấp bậc
低于	thấp hơn
地带	khu vực / địa đới
地形	địa hình
地震	động đất
递给	đưa cho
典礼	lễ / nghi lễ
点燃	đốt cháy / thắp
电池	pin
电饭锅	nồi cơm điện
电子版	bản điện tử
调动	điều động
动机	động cơ
动手	ra tay / bắt tay vào
动态	động thái / diễn biến
动员	động viên / huy động
豆制品	sản phẩm từ đậu
对立	đối lập
对应	tương ứng
儿女	con cái
耳朵	cái tai
二维码	mã QR
发布	công bố / phát hành
发觉	phát hiện ra
发射	phóng / bắn
发行	phát hành
罚款	tiền phạt
法规	quy định pháp luật
法制	pháp chế
繁荣	phồn vinh / thịnh vượng
返回	quay về
防治	phòng và chữa
放大	phóng to
放弃	từ bỏ
分成	chia thành
分解	phân giải
分类	phân loại
分离	tách ra / phân ly
分析	phân tích
分享	chia sẻ
丰收	được mùa
风度	phong độ / phong thái
风光	phong cảnh
疯狂	điên cuồng
服从	phục tùng
幅度	biên độ / mức độ
福利	phúc lợi
辅助	hỗ trợ
负责人	người phụ trách
附件	phụ lục / tệp đính kèm
改革	cải cách
干脆	dứt khoát
干扰	gây nhiễu / quấy rối
干预	can thiệp
感想	cảm nghĩ
钢笔	bút máy
钢琴	đàn piano
高大	cao lớn
高度	độ cao
高跟鞋	giày cao gót
高温	nhiệt độ cao
高于	cao hơn
高原	cao nguyên
搞好	làm tốt
歌曲	bài hát
隔壁	hàng xóm / bên cạnh
个儿	vóc dáng / kích cỡ
跟前	trước mặt
跟随	đi theo / theo sau
更换	thay đổi / thay thế
更新	cập nhật
工艺	kỹ nghệ thủ công
工作日	ngày làm việc
公告	thông báo
公认	công nhận rộng rãi
公式	công thức
公正	công bằng
共计	tổng cộng
共享	chia sẻ chung
沟通	giao tiếp
估计	ước tính / đoán chừng
古老	cổ xưa
鼓励	khích lệ
鼓掌	vỗ tay
顾问	cố vấn
关怀	quan tâm / chăm sóc
关键	then chốt
冠军	vô địch
光荣	vinh quang
光线	ánh sáng
广泛	rộng rãi
规划	quy hoạch
柜子	tủ
国籍	quốc tịch
国民	quốc dân / công dân
过度	quá mức
过敏	dị ứng
过于	quá / quá mức
好运	may mắn
号召	kêu gọi
合并	sáp nhập
合成	hợp thành / tổng hợp
盒饭	cơm hộp
盒子	hộp
贺卡	thiệp chúc mừng
后悔	hối hận
胡同儿	ngõ hẻm
胡子	râu
华语	tiếng Hoa
化石	hóa thạch
划分	phân chia
画面	khung hình / cảnh
环节	khâu / mắt xích
慌忙	vội vàng / hoảng hốt
灰色	màu xám
恢复	khôi phục
回报	đền đáp
回避	né tránh
回顾	hồi tưởng / nhìn lại
回收	tái chế / thu hồi
回头	quay đầu / lát nữa
回信	thư trả lời
回忆	hồi ức / nhớ lại
汇款	chuyển tiền
会谈	hội đàm
活力	sức sống
活泼	hoạt bát
火柴	diêm quẹt
火腿	giăm bông
火灾	hỏa hoạn
或是	hoặc là
机器人	người máy / robot
机制	cơ chế
肌肉	cơ bắp
基地	căn cứ
基金	quỹ
即使	ngay cả khi
集团	tập đoàn
记忆	ký ức / trí nhớ
技能	kỹ năng
继承	kế thừa
加热	làm nóng
加上	cộng thêm
加速	tăng tốc
加以	tiến hành / hơn nữa
驾驶	lái xe
驾照	bằng lái xe
坚定	kiên định
艰苦	gian khổ
艰难	gian nan
检验	kiểm nghiệm
减轻	giảm nhẹ
剪刀	cái kéo
剪子	cái kéo
间接	gián tiếp
建造	xây dựng
建筑	kiến trúc / công trình
健全	hoàn thiện / kiện toàn
键盘	bàn phím
将要	sắp / sẽ
奖励	khen thưởng
交代	dặn dò / giao phó
郊区	ngoại ô
胶带	băng dính
胶水	keo dán
脚步	bước chân
接触	tiếp xúc
接连	liên tiếp
解除	giải trừ / gỡ bỏ
解放	giải phóng
今日	hôm nay
尽管	mặc dù
紧紧	chặt chẽ
尽可能	hết sức có thể
进化	tiến hóa
近来	gần đây
经费	kinh phí
景象	cảnh tượng
警告	cảnh cáo
竞赛	cuộc thi / thi đấu
竞争	cạnh tranh
酒鬼	ma men
救灾	cứu trợ thiên tai
居然	không ngờ / thế mà
局面	cục diện
局长	cục trưởng
举动	hành động / cử chỉ
拒绝	từ chối
俱乐部	câu lạc bộ
剧本	kịch bản
决不	quyết không
绝望	tuyệt vọng
军人	quân nhân
开幕	khai mạc
开幕式	lễ khai mạc
看成	coi là
看出	nhận ra
看待	nhìn nhận / đối xử
考核	đánh giá (năng lực)
烤肉	thịt nướng
烤鸭	vịt quay
靠近	đến gần
可怜	đáng thương
可惜	tiếc là
渴望	khao khát
客户	khách hàng
客气	khách sáo / lịch sự
客厅	phòng khách
课题	đề tài nghiên cứu
肯定	khẳng định / chắc chắn
空中	trên không
控制	kiểm soát
口号	khẩu hiệu
快活	vui vẻ
宽度	chiều rộng
困扰	gây phiền phức
来信	thư gửi đến
朗读	đọc to
浪漫	lãng mạn
劳动	lao động
礼拜	tuần lễ
礼貌	lễ phép / lịch sự
厉害	ghê gớm / lợi hại
立场	lập trường
利润	lợi nhuận
例外	ngoại lệ
连接	kết nối
联络	liên lạc
联想	liên tưởng
脸盆	chậu rửa mặt
脸色	sắc mặt
恋爱	yêu đương
两岸	hai bờ / đôi bờ
邻居	hàng xóm
铃声	tiếng chuông
领带	cà vạt
流动	lưu động / di chuyển
流通	lưu thông
漏洞	lỗ hổng
逻辑	logic
落实	thực hiện
码头	bến tàu / cảng
买卖	mua bán
漫长	dài đằng đẵng
漫画	truyện tranh
毛笔	bút lông
矛盾	mâu thuẫn
贸易	mậu dịch / thương mại
煤气	khí gas
门诊	khám ngoại trú
迷人	quyến rũ
迷信	mê tín
面貌	diện mạo
面子	thể diện
敏感	nhạy cảm
明亮	sáng sủa
明明	rõ ràng là
命令	mệnh lệnh
模范	gương mẫu
模仿	bắt chước
模糊	mơ hồ / mờ nhạt
模式	mô hình
摩擦	ma sát / xích mích
摩托	xe máy
模样	dáng vẻ
目光	ánh mắt
耐心	kiên nhẫn
男性	nam giới
南北	nam bắc
南极	nam cực
难得	hiếm có
难以	khó mà
脑子	đầu óc
内在	nội tại / bên trong
能量	năng lượng
年度	hàng năm / niên độ
年龄	tuổi tác
年前	cuối năm / trước tết
牛仔裤	quần jean
农产品	nông sản
女性	nữ giới
偶尔	thỉnh thoảng
偶然	ngẫu nhiên
偶像	thần tượng
拍摄	quay phim / chụp ảnh
排除	loại trừ
赔偿	bồi thường
配备	trang bị
配套	đồng bộ
皮肤	da
皮鞋	giày da
脾气	tính khí
骗子	kẻ lừa đảo
频道	kênh (truyền hình)
频繁	thường xuyên / liên tục
品种	giống loài / chủng loại
平坦	bằng phẳng
平原	đồng bằng
评估	đánh giá
评论	bình luận
葡萄	nho
葡萄酒	rượu vang
期望	kỳ vọng
齐全	đầy đủ
启动	khởi động
启发	gợi mở
启事	thông báo
起到	phát huy (tác dụng)
起码	ít nhất
气体	chất khí
气象	khí tượng
签订	ký kết
签名	ký tên
签约	ký hợp đồng
签证	thị thực / visa
签字	ký tên
前景	triển vọng
前提	tiền đề
强度	cường độ
墙壁	tường vách
抢救	cấp cứu
强迫	ép buộc
悄悄	lặng lẽ
敲门	gõ cửa
勤奋	cần cù
清晨	sáng sớm
清理	dọn dẹp
情节	tình tiết
情形	tình hình
晴朗	trời quang / trong xanh
区域	khu vực
全都	tất cả đều
全世界	toàn thế giới
缺乏	thiếu
确立	xác lập
群体	quần thể
群众	quần chúng
热量	nhiệt lượng
热门	thịnh hành
人间	nhân gian
人力	nhân lực
人士	nhân sĩ
人物	nhân vật
忍不住	không nhịn được
忍受	chịu đựng
认定	xác định / khẳng định
仍旧	vẫn như cũ
如此	như vậy
如同	giống như
如下	như sau
入门	nhập môn
软件	phần mềm
散文	tản văn
杀毒	diệt virus
沙漠	sa mạc
山区	vùng núi
扇子	cái quạt
商标	nhãn hiệu
上级	cấp trên
上下	trên dưới
上涨	tăng lên
稍微	hơi / một chút
舍不得	tiếc không nỡ
舍得	sẵn lòng / nỡ
设想	hình dung / dự tính
社区	khu dân cư
射击	bắn súng
摄像	quay phim
摄像机	máy quay phim
摄影	chụp ảnh
摄影师	nhiếp ảnh gia
深处	nơi sâu thẳm
深度	độ sâu
神经	thần kinh
神奇	kỳ diệu
神情	thần thái / vẻ mặt
升高	tăng cao
生成	hình thành
胜负	thắng thua
剩下	còn lại
失误	sai sót
师傅	sư phụ
诗歌	thơ ca
十足	hoàn toàn / đầy đủ
时常	thường xuyên
时光	thời gian / năm tháng
时机	thời cơ
时事	thời sự
实惠	thiết thực / rẻ
使得	khiến cho
示范	làm mẫu, mẫu
势力	thế lực
试图	cố gắng, thử
视频	video
视为	coi là, xem như
收购	thu mua
收集	thu thập
收拾	dọn dẹp
手段	thủ đoạn, biện pháp
手法	thủ pháp, thủ đoạn
寿司	sushi
受灾	bị thiên tai
书法	thư pháp
书柜	tủ sách
书桌	bàn học
输出	xuất ra, xuất khẩu
蔬菜	rau củ
熟悉	quen thuộc
鼠标	con chuột máy tính
数目	số lượng
摔倒	ngã, té ngã
率领	dẫn đầu, thống lĩnh
双手	hai tay
水产品	thủy sản
水分	độ ẩm, nước
水库	hồ chứa nước
水灾	lũ lụt
睡眠	giấc ngủ
说法	cách nói, lập luận
硕士	thạc sĩ
私人	riêng tư, cá nhân
思维	tư duy
四周	xung quanh
搜索	tìm kiếm
宿舍	ký túc xá
酸甜苦辣	đắng cay ngọt bùi
随后	sau đó
随意	tùy ý
随着	theo, cùng với
岁月	năm tháng
损害	gây hại, tổn hại
损失	tổn thất, thiệt hại
所在	nơi ở, chỗ
台风	bão
抬头	ngẩng đầu
太空	vũ trụ, không gian
逃跑	chạy trốn
逃走	bỏ chạy, chạy trốn
桃花	hoa đào
桃树	cây đào
讨厌	ghét, chán ghét
特定	đặc định, riêng biệt
特性	đặc tính
特有	đặc trưng riêng
提倡	đề xướng, cổ vũ
提起	nhắc đến, đề cập
提示	gợi ý, nhắc nhở
题材	đề tài
体积	thể tích
体力	sức lực, thể lực
天才	thiên tài
天然气	khí đốt tự nhiên
天文	thiên văn
调节	điều chỉnh
调解	hòa giải
停留	dừng lại, lưu lại
通用	thông dụng
偷偷	lén lút
突破	đột phá
土豆	khoai tây
团长	đoàn trưởng
推行	thực thi, thi hành
脱离	thoát ly, tách khỏi
外界	bên ngoài
完了	xong rồi, hỏng rồi
微博	Weibo
为难	làm khó, khó xử
为期	trong thời hạn
为止	cho đến
为主	chủ yếu là
违法	vi phạm pháp luật
违反	vi phạm
违规	vi phạm quy định
围绕	xoay quanh
唯一	duy nhất
委托	ủy thác, giao phó
卫星	vệ tinh
慰问	thăm hỏi, an ủi
温和	ôn hòa
文艺	văn nghệ
卧室	phòng ngủ
污染	ô nhiễm
污水	nước thải
无奈	bất đắc dĩ, đành chịu
无疑	không nghi ngờ gì
物价	vật giá, giá cả
物业	bất động sản
物质	vật chất
误解	hiểu lầm
西红柿	cà chua
西装	âu phục, com-lê
喜剧	hài kịch
戏剧	kịch, sân khấu
先后	lần lượt, trước sau
先前	trước đây
鲜艳	sặc sỡ, tươi sáng
现有	hiện có
现状	hiện trạng
线索	manh mối
乡村	làng quê, nông thôn
相等	bằng nhau
相应	tương ứng
香肠	xúc xích
详细	chi tiết, tỉ mỉ
享受	hưởng thụ
向导	người hướng dẫn
向前	về phía trước
向上	hướng lên, đi lên
相声	tấu hài
象征	biểu tượng
消除	xóa bỏ, loại trừ
消毒	khử trùng
消防	cứu hỏa, phòng cháy
消费者	người tiêu dùng
消极	tiêu cực
小偷儿	tên trộm
协议	hiệp nghị, thỏa thuận
协议书	văn bản thỏa thuận
心态	tâm thái, tâm lý
心疼	xót xa, xót ruột
辛苦	vất vả
欣赏	thưởng thức
信念	niềm tin
信箱	hòm thư
行驶	chạy xe, di chuyển
形态	hình thái
性能	tính năng
雄伟	hùng vĩ
休闲	nghỉ ngơi, thư giãn
修复	sửa chữa, phục hồi
修建	xây dựng
修养	tu dưỡng
虚心	khiêm tốn
许可	cho phép
选修	học tự chọn
学科	môn học, ngành học
学位	học vị
学者	học giả
寻求	tìm kiếm
询问	hỏi thăm
押金	tiền đặt cọc
鸭子	con vịt
亚军	á quân
延伸	kéo dài, mở rộng
严厉	nghiêm khắc
严肃	nghiêm túc
言语	lời nói, ngôn ngữ
研究所	viện nghiên cứu
眼光	ánh mắt, tầm nhìn
邀请	mời
摇头	lắc đầu
也好	cũng được, cũng tốt
业务	nghiệp vụ
夜间	ban đêm
一流	hạng nhất, đẳng cấp
依法	theo pháp luật
依旧	vẫn như cũ
依据	căn cứ
依照	theo, chiếu theo
一辈子	cả đời
一带	vùng, dải
一旦	một khi
一句话	tóm lại
一路	suốt dọc đường
一下子	chợt, đột nhiên
一向	xưa nay, từ trước đến giờ
以便	để, nhằm
以往	trước đây
一口气	một hơi, một mạch
一身	cả người, một thân
意识	ý thức
意味着	có nghĩa là
意志	ý chí
因而	vì vậy, do đó
饮料	đồ uống
饮食	ăn uống
印刷	in ấn
硬件	phần cứng
拥抱	ôm
拥有	sở hữu, có
用不着	không cần đến
用户	người dùng
用来	dùng để
用于	dùng cho, dùng vào
优惠	ưu đãi
优先	ưu tiên
幽默	hài hước
尤其	đặc biệt là
由此	từ đó, do đó
犹豫	do dự
游泳池	bể bơi
友谊	tình bạn, hữu nghị
有毒	có độc
有害	có hại
有力	mạnh mẽ
有利于	có lợi cho
有着	có (sẵn)
羽毛球	cầu lông
羽绒服	áo lông vũ
雨水	nước mưa
预备	chuẩn bị
预期	dự kiến, kỳ vọng
元旦	Tết Dương lịch
园林	vườn cảnh
原理	nguyên lý
原始	nguyên thủy, ban đầu
原先	vốn dĩ, ban đầu
原有	vốn có
远处	nơi xa, đằng xa
约束	ràng buộc
月饼	bánh trung thu
月球	mặt trăng
阅览室	phòng đọc sách
运行	vận hành
灾害	thiên tai
灾难	tai họa, thảm họa
灾区	vùng bị nạn
再次	một lần nữa
再也	không bao giờ nữa
在场	có mặt
在内	kể cả, bao gồm trong đó
暂时	tạm thời
暂停	tạm dừng
糟糕	tệ quá, gay go
早期	thời kỳ đầu
增产	tăng sản lượng
增大	tăng lớn, phóng đại
增多	tăng lên (về số lượng)
增强	tăng cường
赠送	tặng
展览	triển lãm
展示	trưng bày, thể hiện
展现	thể hiện, hiện ra
占领	chiếm lĩnh, chiếm đóng
占有	chiếm hữu
涨价	tăng giá
掌握	nắm vững
招生	tuyển sinh
招手	vẫy tay
珍贵	quý giá
珍惜	trân trọng, quý trọng
珍珠	ngọc trai
真诚	chân thành
真理	chân lý
真相	sự thật
诊断	chẩn đoán
振动	rung động
震惊	chấn động, kinh ngạc
争议	tranh cãi
正版	chính hãng, có bản quyền
正规	chính quy
正如	đúng như
正义	chính nghĩa, công lý
证实	chứng thực, xác nhận
证书	chứng chỉ
挣钱	kiếm tiền
之内	trong vòng
之外	ngoài ra
之下	dưới
之中	trong, giữa
支出	chi tiêu
支配	chi phối
执行	thực hiện, chấp hành
直线	đường thẳng
值班	trực ban
职能	chức năng
职位	chức vụ
职务	chức vụ
只不过	chỉ là, chẳng qua
只见	chỉ thấy
指标	chỉ tiêu
指甲	móng tay
指示	chỉ thị
指责	chỉ trích
制成	chế tạo thành
制约	chi phối, ràng buộc
治安	trị an, an ninh
治理	quản lý, trị vì
中断	gián đoạn, ngắt quãng
中秋节	Tết Trung thu
中央	trung ương, trung tâm
中药	thuốc bắc, đông y
终点	điểm đích
终身	suốt đời
终止	chấm dứt
中毒	trúng độc, ngộ độc
众多	đông đảo
周期	chu kỳ
竹子	cây tre
主办	tổ chức, chủ trì
主导	chủ đạo
主观	chủ quan
主管	quản lý, người phụ trách
主体	chủ thể, phần chính
助理	trợ lý
助手	trợ thủ, người giúp việc
注册	đăng ký
注射	tiêm
注视	chăm chú nhìn
注重	chú trọng
祝贺	chúc mừng
专辑	album, tuyển tập
专利	bằng sáng chế
转化	chuyển hóa
转换	chuyển đổi
转让	chuyển nhượng
转向	chuyển hướng
装饰	trang trí
资本	vốn, tư bản
资产	tài sản
资助	tài trợ
子弹	đạn
仔细	cẩn thận, kỹ lưỡng
自豪	tự hào
自杀	tự sát
自愿	tự nguyện
总裁	tổng giám đốc, chủ tịch
总数	tổng số
总算	rốt cuộc, cuối cùng
总体	tổng thể
阻碍	cản trở
组织	tổ chức
尊敬	tôn kính
尊重	tôn trọng
遵守	tuân thủ
挨着	sát bên, kề nhau
挨打	bị đánh
安检	kiểm tra an ninh
罢工	đình công
罢了	chỉ là, thế thôi
白领	dân văn phòng
百分点	điểm phần trăm
办公	làm việc văn phòng
办事处	văn phòng đại diện
办学	mở trường, làm giáo dục
半决赛	bán kết
傍晚	chiều tối
保健	bảo vệ sức khỏe
报刊	báo chí
报考	đăng ký dự thi
抱歉	xin lỗi
暴风雨	mưa bão
暴力	bạo lực
暴露	phơi bày, bộc lộ
暴雨	mưa lớn, mưa dữ dội
爆发	bùng nổ
爆炸	nổ, bùng nổ
悲惨	bi thảm
背心	áo gi-lê
背着	giấu giếm, lén lút
被告	bị cáo
奔跑	chạy
本地	bản địa, địa phương
本期	kỳ này
本身	bản thân, tự nó
本土	bản địa, quê hương
本质	bản chất
笔试	thi viết
必将	chắc chắn sẽ
必修	bắt buộc (môn học)
边缘	rìa, ranh giới
编制	biên chế
变更	thay đổi
变换	biến đổi
变形	biến dạng
便是	chính là
遍地	khắp nơi
表面上	bề ngoài
病房	phòng bệnh
病情	tình trạng bệnh
拨打	gọi điện thoại
波动	biến động, dao động
波浪	sóng
不便	bất tiện
不见	không thấy, biến mất
不料	không ngờ
不再	không còn nữa
不至于	không đến nỗi
补考	thi lại
补课	học bù
补习	học thêm
补助	trợ cấp
不成	không được, chẳng lẽ
不禁	không nhịn được
不仅仅	không chỉ
不通	không thông, tắc
不怎么	không mấy
不怎么样	chẳng ra sao, tầm thường
不值	không đáng
布满	phủ đầy, đầy khắp
部队	bộ đội, quân đội
采纳	tiếp thu, chấp nhận
参赛	tham gia thi đấu
参展	tham gia triển lãm
残疾	tàn tật
残疾人	người khuyết tật
残酷	tàn khốc, tàn nhẫn
仓库	kho hàng
操纵	điều khiển, thao túng
厕所	nhà vệ sinh
测定	đo đạc xác định
策划	lên kế hoạch, sắp đặt
策略	chiến lược, sách lược
层面	phương diện, khía cạnh
差异	khác biệt
查出	tìm ra, phát hiện ra
查看	xem xét, kiểm tra
拆迁	giải tỏa
产量	sản lượng
昌盛	thịnh vượng
长短	dài ngắn, chuyện bất trắc
长假	kỳ nghỉ dài
长久	lâu dài
长跑	chạy đường dài
长远	lâu dài, dài hạn
常规	thông thường, quy ước
常年	quanh năm
厂商	nhà sản xuất
场地	địa điểm, sân bãi
场馆	nhà thi đấu, sân vận động
场景	cảnh, bối cảnh
畅通	thông suốt
超出	vượt quá
炒股	chơi chứng khoán
炒作	thổi phồng, PR rùm beng
车号	số xe
车牌	biển số xe
车展	triển lãm ô tô
撤离	rút lui, sơ tán
撤销	hủy bỏ
成分	thành phần
成品	thành phẩm
承诺	cam kết
城区	khu vực nội thành
城乡	thành thị và nông thôn
城镇	thị trấn, đô thị
持有	sở hữu, cầm giữ
冲击	tác động mạnh, xung kích
重建	tái thiết, xây dựng lại
重组	tái cơ cấu
崇拜	sùng bái, tôn sùng
宠物	thú cưng
出场	xuất hiện, ra sân
出动	xuất quân, huy động
出访	đi thăm chính thức
出路	lối thoát, hướng đi
出面	đứng ra (giải quyết)
出名	nổi tiếng
出入	ra vào, chênh lệch
出事	xảy ra chuyện, gặp nạn
出台	ban hành, ra mắt
出行	đi lại, ra ngoài
初等	sơ cấp
厨师	đầu bếp
储存	lưu trữ
处处	khắp nơi, mọi mặt
处长	trưởng phòng
传出	truyền ra, lan truyền
传媒	truyền thông
传输	truyền tải
传言	tin đồn
船员	thủy thủ
船长	thuyền trưởng
船只	tàu thuyền
窗口	cửa sổ
创办	sáng lập
创建	xây dựng, thành lập
创意	sáng tạo, ý tưởng
此处	nơi đây
此次	lần này
此前	trước đó
此事	việc này
此致	kính thư
次数	số lần
从不	chưa bao giờ
从没	chưa từng
村庄	làng xóm
错过	bỏ lỡ
搭档	cộng sự, bạn diễn
搭配	phối hợp, kết hợp
打动	làm cảm động
打断	ngắt lời, làm gãy
打发	sai khiến, tiêu khiển
打官司	kiện tụng
打牌	đánh bài
打印机	máy in
打造	tạo dựng, xây dựng
大道	đại lộ
大街	phố lớn, đường phố
大力	mạnh mẽ, ra sức
大米	gạo
大批	số lượng lớn
大赛	đại hội thi đấu
大师	đại sư, bậc thầy
大使	đại sứ
待会儿	lát nữa
担忧	lo lắng
单打	đánh đơn
诞生	ra đời
当成	coi như
当天	ngay hôm đó
当作	coi như
档案	hồ sơ lưu trữ
到期	đến hạn
盗版	hàng lậu, vi phạm bản quyền
道教	Đạo giáo
道歉	xin lỗi
低头	cúi đầu
低温	nhiệt độ thấp
抵达	đến nơi
抵抗	kháng cự
地板	sàn nhà
地名	địa danh
地下室	tầng hầm
电车	xe điện
电动	chạy bằng điện
电力	điện lực
电器	đồ điện
调研	điều tra nghiên cứu
定价	định giá
定时	hẹn giờ
定位	định vị
动画	hoạt hình
斗争	đấu tranh
都市	đô thị
毒品	ma túy
赌博	cờ bạc
端午节	Tết Đoan Ngọ
短片	phim ngắn
队伍	đội ngũ
对抗	đối kháng
对外	đối ngoại
多半	phần lớn
多方面	nhiều mặt
多媒体	đa phương tiện
夺取	chiếm đoạt
恩人	ân nhân
儿科	khoa nhi
发病	phát bệnh
发电	phát điện
发放	cấp phát
发怒	nổi giận
发起	phát động
发言人	phát ngôn viên
发炎	viêm
法庭	tòa án
法语	tiếng Pháp
番茄	cà chua
凡是	phàm là, hễ là
繁殖	sinh sản
反抗	phản kháng
反问	hỏi vặn lại
反响	phản hồi, tiếng vang
犯规	phạm quy
犯罪	phạm tội
防范	đề phòng
防守	phòng thủ
房价	giá nhà
仿佛	dường như
飞船	phi thuyền
飞行员	phi công
分工	phân công
分裂	chia rẽ
愤怒	phẫn nộ
风暴	bão táp
峰会	hội nghị thượng đỉnh
奉献	cống hiến
佛教	Phật giáo
父女	cha con (con gái)
父子	cha con (con trai)
妇女	phụ nữ
复苏	hồi phục
富人	người giàu
富有	giàu có
改装	cải tạo, độ lại
干涉	can thiệp
赶不上	không kịp
赶忙	vội vàng
赶上	kịp, bắt kịp
敢于	dám
感人	cảm động
刚好	vừa đúng lúc
岗位	vị trí công tác
港口	cảng
高层	cao tầng, cấp cao
高档	cao cấp
高等	bậc cao
高峰	cao điểm, đỉnh cao
高考	thi đại học
高科技	công nghệ cao
高手	cao thủ
稿子	bản thảo
歌唱	ca hát
歌词	lời bài hát
歌星	ca sĩ ngôi sao
革新	cải cách
更是	càng, lại càng
工商	công thương
公安	công an
公鸡	gà trống
公众	công chúng
公主	công chúa
攻击	tấn công
供给	cung cấp
巩固	củng cố
贡献	cống hiến
构建	xây dựng, kiến tạo
孤独	cô độc
孤儿	trẻ mồ côi
姑姑	cô (em/chị gái của cha)
古典	cổ điển
股东	cổ đông
股票	cổ phiếu
故障	sự cố, trục trặc
关爱	quan tâm yêu thương
关联	liên quan
观光	tham quan du lịch
官司	kiện tụng
管道	đường ống
光辉	rực rỡ
广阔	rộng lớn
轨道	quỹ đạo
国产	sản xuất trong nước
国歌	quốc ca
国会	quốc hội
国旗	quốc kỳ
国王	quốc vương
果酱	mứt
果树	cây ăn quả
过渡	chuyển tiếp, quá độ
过后	sau đó
过时	lỗi thời
海报	áp phích
海底	đáy biển
海军	hải quân
海浪	sóng biển
海外	hải ngoại
海湾	vịnh
海洋	đại dương
好似	dường như
好转	chuyển biến tốt
好学	ham học
合约	hợp đồng
和谐	hài hòa
核心	cốt lõi
黑夜	đêm tối
衡量	cân nhắc, đánh giá
宏大	hùng vĩ, to lớn
洪水	lũ lụt
忽略	bỏ qua, xem nhẹ
互动	tương tác
户外	ngoài trời
花费	tiêu tốn, chi phí
花瓶	bình hoa
花生	đậu phộng
化解	hóa giải
幻想	ảo tưởng
患者	bệnh nhân
皇帝	hoàng đế
回应	hồi đáp
会见	hội kiến
会长	hội trưởng
绘画	vẽ tranh
混合	hỗn hợp, trộn lẫn
混乱	hỗn loạn
活跃	sôi nổi, năng động
火箭	tên lửa
机动车	xe cơ giới
机关	cơ quan
机械	máy móc
基督教	Cơ Đốc giáo
激情	nhiệt huyết, đam mê
吉利	may mắn
吉祥	cát tường, may mắn
极端	cực đoan
急救	cấp cứu
疾病	bệnh tật
给予	trao cho, ban cho
加盟	gia nhập, tham gia
家电	đồ điện gia dụng
家园	quê hương
嘉宾	khách mời
假日	ngày nghỉ
监测	giám sát, theo dõi
监督	giám sát
简介	giới thiệu sơ lược
鉴定	giám định
将军	tướng quân
讲课	giảng bài
酱油	xì dầu
