id,hanzi,pinyin,pos,hanviet,vi,created_at,lesson_label,count_done,count_target,cau_truc,ket_hop,nghia,dong_am,gan_nghia,course
biz-数字,数字,shùzì,名,số tự,"con số, chữ số",2026-06-14 08:28:55.444988+00,Bai 9,0,10,,,,,,biz
biz-数据,数据,shùjù,名,số cứ,"dữ liệu, số liệu",2026-06-14 08:29:42.724627+00,Bài 10,0,10,,,,,,biz
biz-数据线,数据线,shùjùxiàn,名,số cứ tuyến,"cáp dữ liệu, dây kết nối",2026-06-14 08:29:06.534404+00,Bai 9,0,10,,,,,,biz
biz-数码产品,数码产品,shùmǎ chǎnpǐn,名,số mã sản phẩm,sản phẩm kỹ thuật số,2026-06-14 08:28:57.872969+00,Bai 9,0,10,,,,,,biz
biz-数量,数量,shùliàng,名,số lượng,"số lượng, số lượng",2026-06-14 08:28:00.905409+00,Bài 6,0,10,,,,,,biz
biz-文化,文化,wénhuà,名,văn hóa,văn hóa,2026-06-14 08:28:41.493894+00,Bai 8,0,10,,,,,,biz
biz-文本,文本,wénběn,名,văn bản,"văn bản, tệp văn bản",2026-06-14 08:29:12.377101+00,Bai 9,0,10,,,,,,biz
biz-文雅,文雅,wényǎ,形,văn nhã,"thanh lịch, tao nhã",2026-06-14 08:28:40.38924+00,Bai 8,0,10,,,,,,biz
biz-方便,方便,fāngbiàn,形,phương tiện,"thuận tiện, tiện lợi",2026-06-14 08:27:57.025831+00,Bài 6,0,10,,,,,,biz
biz-方向,方向,fāngxiàng,名,phương hướng,"phương hướng, hướng đi",2026-06-14 08:27:44.134753+00,Bài 6,0,10,,,,,,biz
biz-方式,方式,fāngshì,名,phương thức,"cách thức, phương thức",2026-06-14 08:28:10.978509+00,Bài 6,0,10,,,,,,biz
biz-方案,方案,fāng'àn,名,phương án,"phương án, kế hoạch",2026-06-14 08:27:49.216552+00,Bài 6,0,10,,,,,,biz
biz-方法,方法,fāngfǎ,名,phương pháp,"phương pháp, cách làm",2026-06-14 08:28:00.285483+00,Bài 6,0,10,,,,,,biz
biz-方针,方针,fāngzhēn,名,phương châm,"phương châm, đường lối",2026-06-14 08:28:46.463823+00,Bai 8,0,10,,,,,,biz
biz-方面,方面,fāngmiàn,名,phương diện,"phương diện, khía cạnh",2026-06-14 08:28:36.070137+00,Bai 8,0,10,,,,,,biz
biz-旁边,旁边,pángbiān,名,bàng biên,"bên cạnh, cạnh bên",2026-06-14 08:28:28.997003+00,Bai 8,0,10,,,,,,biz
biz-旗下,旗下,qíxià,名,kỳ hạ,"trực thuộc, dưới trướng",2026-06-14 08:28:18.793815+00,Bai 8,0,10,,,,,,biz
biz-无法,无法,wúfǎ,副,vô pháp,"không thể, không có cách",2026-06-14 08:29:31.198786+00,Bài 10,0,10,,,,,,biz
biz-无疑,无疑,wúyí,副,vô nghi,"không nghi ngờ, chắc chắn",2026-06-14 08:28:40.629703+00,Bai 8,0,10,,,,,,biz
biz-日常,日常,rìcháng,形,nhật thường,"hằng ngày, thường ngày",2026-06-14 08:29:11.735648+00,Bai 9,0,10,,,,,,biz
biz-日本,日本,Rìběn,名,Nhật Bản,nước Nhật Bản,2026-06-14 08:29:26.288064+00,Bài 10,0,10,,,,,,biz
biz-早上,早上,zǎoshang,名,tảo thượng,buổi sáng sớm,2026-06-14 08:28:23.518887+00,Bai 8,0,10,,,,,,biz
biz-早就,早就,zǎojiù,副,tảo tựu,"đã từ lâu, sớm đã",2026-06-14 08:29:27.556354+00,Bài 10,0,10,,,,,,biz
biz-早已,早已,zǎoyǐ,副,tảo dĩ,"đã từ sớm, sớm đã",2026-06-14 08:28:34.088855+00,Bai 8,0,10,,,,,,biz
biz-早日,早日,zǎorì,副,tảo nhật,"sớm ngày, mau chóng",2026-06-14 08:29:30.814621+00,Bài 10,0,10,,,,,,biz
biz-时候,时候,shíhou,名,thời hậu,"lúc, khi, thời điểm",2026-06-14 08:29:11.351206+00,Bai 9,0,10,,,,,,biz
biz-时要,时要,shí yào,语,thời yếu,"lúc cần, khi cần thiết",2026-06-14 08:27:59.292981+00,Bài 6,0,10,,,,,,biz
biz-时间,时间,shíjiān,名,thời gian,thời gian,2026-06-14 08:28:27.675012+00,Bai 8,0,10,,,,,,biz
biz-明天,明天,míngtiān,名,minh thiên,ngày mai,2026-06-14 08:29:08.525317+00,Bai 9,0,10,,,,,,biz
biz-明白,明白,míngbai,动,minh bạch,"hiểu rõ, minh bạch",2026-06-14 08:28:12.61449+00,Bài 6,0,10,,,,,,biz
biz-明确,明确,míngquè,形,minh xác,"rõ ràng, minh xác",2026-06-14 08:29:44.096955+00,Bài 10,0,10,,,,,,biz
biz-易于,易于,yìyú,副,dị ư,"dễ dàng, thuận tiện cho",2026-06-14 08:28:08.965096+00,Bài 6,0,10,,,,,,biz
biz-易懂,易懂,yìdǒng,形,dị đổng,dễ hiểu,2026-06-14 08:28:13.109772+00,Bài 6,0,10,,,,,,biz
biz-易明,易明,yìmíng,形,dị minh,"dễ hiểu, dễ thấy rõ",2026-06-14 08:28:15.211378+00,Bài 6,0,10,,,,,,biz
biz-易用,易用,yìyòng,形,dị dụng,dễ sử dụng,2026-06-14 08:27:59.667454+00,Bài 6,0,10,,,,,,biz
biz-易高,易高,yì gāo,形,dị cao,dễ đạt mức cao,2026-06-14 08:27:53.997606+00,Bài 6,0,10,,,,,,biz
biz-是否,是否,shìfǒu,副,thị phủ,"có hay không, có phải không",2026-06-14 08:27:55.155329+00,Bài 6,0,10,,,,,,biz
biz-显得,显得,xiǎnde,动,hiển đắc,"trông có vẻ, tỏ ra",2026-06-14 08:28:28.512641+00,Bai 8,0,10,,,,,,biz
biz-显示,显示,xiǎnshì,动,hiển thị,"hiển thị, thể hiện",2026-06-14 08:29:42.84603+00,Bài 10,0,10,,,,,,biz
biz-晓得,晓得,xiǎode,动,hiểu đắc,"biết, hiểu được",2026-06-14 08:28:46.587925+00,Bai 8,0,10,,,,,,biz
biz-普遍,普遍,pǔbiàn,形,phổ biến,"phổ biến, rộng rãi",2026-06-14 08:29:00.608144+00,Bai 9,0,10,,,,,,biz
biz-智能,智能,zhìnéng,名,trí năng,"trí tuệ nhân tạo, thông minh",2026-06-14 08:28:53.105622+00,Bai 9,0,10,,,,,,biz
biz-更加,更加,gèng jiā,副,cánh gia,"càng thêm, ngày càng",2026-06-14 08:28:36.198095+00,Bai 8,0,10,,,,,,biz
biz-更新,更新,gēng xīn,动,Cánh tân,"cập nhật, đổi mới",2026-06-14 08:29:37.030163+00,Bài 10,0,10,,,,,,biz
biz-有关,有关,yǒu guān,动,Hữu quan,"có liên quan, liên quan đến",2026-06-14 08:27:56.156642+00,Bài 6,0,10,,,,,,biz
biz-有利于,有利于,yǒu lì yú,动,Hữu lợi ư,"có lợi cho, có ích cho",2026-06-14 08:29:41.418163+00,Bài 10,0,10,,,,,,biz
biz-有劳,有劳,yǒu láo,动,Hữu lao,"phiền đến bạn, nhờ vả",2026-06-14 08:28:17.81066+00,Bai 8,0,10,,,,,,biz
biz-有句,有句,yǒu jù,短,Hữu cú,có câu (nói) rằng,2026-06-14 08:29:21.448787+00,Bai 9,0,10,,,,,,biz
biz-有声,有声,yǒu shēng,形,Hữu thanh,"có âm thanh, phát âm",2026-06-14 08:29:21.2047+00,Bai 9,0,10,,,,,,biz
biz-服务,服务,fú wù,动,Phục vụ,"phục vụ, dịch vụ",2026-06-14 08:27:56.528036+00,Bài 6,0,10,,,,,,biz
biz-期望,期望,qī wàng,动,Kỳ vọng,"kỳ vọng, hy vọng",2026-06-14 08:28:06.06113+00,Bài 6,0,10,,,,,,biz
biz-未来,未来,wèi lái,名,Vị lai,tương lai,2026-06-14 08:28:40.880101+00,Bai 8,0,10,,,,,,biz
biz-本市,本市,běn shì,名,Bản thị,"thành phố này, thị xã này",2026-06-14 08:27:47.590839+00,Bài 6,0,10,,,,,,biz
biz-机会,机会,jī huì,名,Cơ hội,"cơ hội, dịp may",2026-06-14 08:28:44.327707+00,Bai 8,0,10,,,,,,biz
biz-权利,权利,quán lì,名,Quyền lợi,"quyền lợi, quyền hạn",2026-06-14 08:28:43.453883+00,Bai 8,0,10,,,,,,biz
biz-材料,材料,cái liào,名,Tài liệu,"tài liệu, vật liệu",2026-06-14 08:27:53.614598+00,Bài 6,0,10,,,,,,biz
biz-条件,条件,tiáo jiàn,名,Điều kiện,"điều kiện, yêu cầu",2026-06-14 08:29:29.066731+00,Bài 10,0,10,,,,,,biz
biz-来电,来电,lái diàn,名,lai điện,cuộc gọi đến; điện đến,2026-06-14 08:28:16.712632+00,Bai 8,0,10,,,,,,biz
biz-柬埔寨,柬埔寨,Jiǎnpǔzhài,名,Cam Bốt,Campuchia,2026-06-14 08:29:27.148806+00,Bài 10,0,10,,,,,,biz
biz-标准化,标准化,biāozhǔnhuà,动,tiêu chuẩn hóa,tiêu chuẩn hóa,2026-06-14 08:28:10.366159+00,Bài 6,0,10,,,,,,biz
biz-树立,树立,shùlì,动,thụ lập,xây dựng; thiết lập; dựng lên,2026-06-14 08:28:37.056606+00,Bai 8,0,10,,,,,,biz
biz-样品,样品,yàngpǐn,名,dạng phẩm,hàng mẫu; mẫu phẩm,2026-06-14 08:28:19.293017+00,Bai 8,0,10,,,,,,biz
biz-核算,核算,hésuàn,动,hạch toán,hạch toán; tính toán chi phí,2026-06-14 08:28:26.704989+00,Bai 8,0,10,,,,,,biz
biz-检查,检查,jiǎnchá,动,kiểm tra,kiểm tra; xem xét,2026-06-14 08:28:07.955643+00,Bài 6,0,10,,,,,,biz
biz-检验,检验,jiǎnyàn,动,kiểm nghiệm,kiểm nghiệm; thử nghiệm,2026-06-14 08:28:24.871125+00,Bai 8,0,10,,,,,,biz
biz-欢迎,欢迎,huānyíng,动,hoan nghênh,chào đón; hoan nghênh,2026-06-14 08:29:22.567231+00,Bai 9,0,10,,,,,,biz
biz-欢迎光临,欢迎光临,huānyíng guānglín,语,hoan nghênh quang lâm,xin chào quý khách,2026-06-14 08:28:51.618275+00,Bai 9,0,10,,,,,,biz
biz-正确,正确,zhèngquè,形,chính xác,đúng đắn; chính xác,2026-06-14 08:28:49.370751+00,Bai 8,0,10,,,,,,biz
biz-此基础,此基础,cǐ jīchǔ,短,thử cơ sở,cơ sở này; nền tảng này,2026-06-14 08:29:01.475653+00,Bai 9,0,10,,,,,,biz
biz-殷切,殷切,yīnqiè,形,ân thiết,tha thiết; chân thành; nhiệt tình,2026-06-14 08:29:40.60425+00,Bài 10,0,10,,,,,,biz
biz-每年,每年,měi nián,名,mỗi niên,mỗi năm; hàng năm,2026-06-14 08:28:18.061519+00,Bai 8,0,10,,,,,,biz
biz-比较,比较,bǐjiào,副,tỉ giảo,tương đối; so sánh; khá,2026-06-14 08:29:33.191413+00,Bài 10,0,10,,,,,,biz
biz-毫安,毫安,háo ān,名,hào an,miliampe (đơn vị điện),2026-06-14 08:28:58.123482+00,Bai 9,0,10,,,,,,biz
biz-气氛,气氛,qìfēn,名,khí phân,bầu không khí; không khí,2026-06-14 08:28:06.879252+00,Bài 6,0,10,,,,,,biz
biz-水平,水平,shuǐpíng,名,thủy bình,trình độ; mức độ; ngang,2026-06-14 08:28:05.179914+00,Bài 6,0,10,,,,,,biz
biz-永康,永康,Yǒngkāng,名,Vĩnh Khang,Vĩnh Khang (địa danh),2026-06-14 08:28:15.594239+00,Bai 8,0,10,,,,,,biz
biz-沟通,沟通,gōu tōng,动,câu thông,"giao tiếp, kết nối",2026-06-14 08:28:44.084211+00,Bai 8,0,10,,,,,,biz
biz-没有,没有,méi yǒu,动,một hữu,không có,2026-06-14 08:29:03.310138+00,Bai 9,0,10,,,,,,biz
biz-没白来,没白来,méi bái lái,短,một bạch lai,đến không vô ích,2026-06-14 08:28:30.721333+00,Bai 8,0,10,,,,,,biz
biz-没错,没错,méi cuò,短,một thố,"đúng rồi, không sai",2026-06-14 08:28:52.864124+00,Bai 9,0,10,,,,,,biz
biz-法是,法是,fǎ shì,短,pháp thị,pháp luật là,2026-06-14 08:28:02.92353+00,Bài 6,0,10,,,,,,biz
biz-注意,注意,zhù yì,动,chú ý,"chú ý, để ý",2026-06-14 08:28:34.719801+00,Bai 8,0,10,,,,,,biz
biz-注视,注视,zhù shì,动,chú thị,"nhìn chằm chằm, nhìn chú ý",2026-06-14 08:29:15.517488+00,Bai 9,0,10,,,,,,biz
biz-注重,注重,zhù zhòng,动,chú trọng,"chú trọng, coi trọng",2026-06-14 08:28:30.222276+00,Bai 8,0,10,,,,,,biz
biz-泰国,泰国,Tài guó,名,Thái Quốc,Thái Lan,2026-06-14 08:29:26.784505+00,Bài 10,0,10,,,,,,biz
biz-洋气,洋气,yáng qì,形,dương khí,"phong cách, sành điệu",2026-06-14 08:28:28.632402+00,Bai 8,0,10,,,,,,biz
biz-活动,活动,huó dòng,名,hoạt động,"hoạt động, sự kiện",2026-06-14 08:28:24.263247+00,Bai 8,0,10,,,,,,biz
biz-流露出,流露出,liú lù chū,动,lưu lộ,"bộc lộ, để lộ ra",2026-06-14 08:29:19.952794+00,Bai 9,0,10,,,,,,biz
biz-浪费,浪费,làng fèi,动,lãng phí,"lãng phí, phung phí",2026-06-14 08:28:47.8836+00,Bai 8,0,10,,,,,,biz
biz-涉足,涉足,shè zú,动,thiệp túc,"dấn thân vào, bước vào",2026-06-14 08:29:03.892014+00,Bai 9,0,10,,,,,,biz
biz-深入,深入,shēn rù,动,thâm nhập,"đi sâu vào, thâm nhập",2026-06-14 08:28:11.970724+00,Bài 6,0,10,,,,,,biz
biz-深度,深度,shēn dù,名,thâm độ,"độ sâu, chiều sâu",2026-06-14 08:28:10.734599+00,Bài 6,0,10,,,,,,biz
biz-深深,深深,shēn shēn,副,thâm thâm,"sâu sắc, thật sâu",2026-06-14 08:29:44.795905+00,Bài 10,0,10,,,,,,biz
biz-清华大学,清华大学,Qīng Huá Dà xué,名,Thanh Hoa Đại Học,Đại học Thanh Hoa,2026-06-14 08:28:18.555972+00,Bai 8,0,10,,,,,,biz
biz-清晰,清晰,qīng xī,形,thanh tích,"rõ ràng, minh bạch",2026-06-14 08:28:14.343496+00,Bài 6,0,10,,,,,,biz
biz-清楚,清楚,qīng chǔ,形,thanh sở,"rõ ràng, tường tận",2026-06-14 08:28:34.965812+00,Bai 8,0,10,,,,,,biz
biz-温柔,温柔,wēn róu,形,ôn nhu,"dịu dàng, nhẹ nhàng",2026-06-14 08:29:13.859769+00,Bai 9,0,10,,,,,,biz
biz-满意,满意,mǎn yì,形,mãn ý,"hài lòng, thỏa mãn",2026-06-14 08:28:24.386292+00,Bai 8,0,10,,,,,,biz
biz-满意度,满意度,mǎn yì dù,名,mãn ý độ,mức độ hài lòng,2026-06-14 08:28:30.596682+00,Bai 8,0,10,,,,,,biz
biz-满足,满足,mǎn zú,动,mãn túc,"đáp ứng, thỏa mãn",2026-06-14 08:29:39.588972+00,Bài 10,0,10,,,,,,biz
biz-潜在,潜在,qián zài,形,tiềm tại,"tiềm ẩn, tiềm năng",2026-06-14 08:29:36.387497+00,Bài 10,0,10,,,,,,biz
biz-激烈,激烈,jīliè,形,kịch liệt,"gay gắt, quyết liệt, dữ dội",2026-06-14 08:29:33.697445+00,Bài 10,0,10,,,,,,biz
biz-灵活运用,灵活运用,línghuó yùnyòng,短,linh hoạt vận dụng,"vận dụng linh hoạt, ứng dụng sáng tạo",2026-06-14 08:29:48.753164+00,Bài 10,0,10,,,,,,biz
biz-灿烂,灿烂,càn làn,形,xán lạn,"rực rỡ, sáng chói, huy hoàng",2026-06-14 08:29:18.830526+00,Bai 9,0,10,,,,,,biz
biz-点头,点头,diǎntóu,动,điểm đầu,"gật đầu, tán đồng",2026-06-14 08:29:22.195534+00,Bai 9,0,10,,,,,,biz
biz-烦躁,烦躁,fánzào,形,phiền táo,"bực bội, bồn chồn, khó chịu",2026-06-14 08:28:47.755891+00,Bai 8,0,10,,,,,,biz
biz-热情,热情,rèqíng,形,nhiệt tình,"nhiệt tình, hăng hái, nồng nhiệt",2026-06-14 08:29:43.233917+00,Bài 10,0,10,,,,,,biz
biz-特别,特别,tèbié,副,đặc biệt,"đặc biệt, đặc biệt là, nhất là",2026-06-14 08:28:59.633735+00,Bai 9,0,10,,,,,,biz
biz-特殊,特殊,tèshū,形,đặc thù,"đặc thù, đặc biệt, khác thường",2026-06-14 08:29:28.089556+00,Bài 10,0,10,,,,,,biz
biz-特点,特点,tèdiǎn,名,đặc điểm,"đặc điểm, đặc trưng riêng",2026-06-14 08:28:35.701258+00,Bai 8,0,10,,,,,,biz
biz-环保,环保,huánbǎo,名,hoàn bảo,"bảo vệ môi trường, thân thiện môi trường",2026-06-14 08:27:53.239217+00,Bài 6,0,10,,,,,,biz
biz-环境,环境,huánjìng,名,hoàn cảnh,"môi trường, hoàn cảnh xung quanh",2026-06-14 08:28:30.342944+00,Bai 8,0,10,,,,,,biz
biz-环节,环节,huánjié,名,hoàn tiết,"khâu, mắt xích, giai đoạn trong quy trình",2026-06-14 08:28:25.236206+00,Bai 8,0,10,,,,,,biz
biz-现在,现在,xiànzài,名,hiện tại,"bây giờ, hiện tại, lúc này",2026-06-14 08:27:53.114547+00,Bài 6,0,10,,,,,,biz
biz-现象,现象,xiànxiàng,名,hiện tượng,"hiện tượng, biểu hiện bên ngoài",2026-06-14 08:28:01.028436+00,Bài 6,0,10,,,,,,biz
biz-甚至,甚至,shènzhì,副,thậm chí,"thậm chí, đến mức, thậm đến",2026-06-14 08:28:45.456802+00,Bai 8,0,10,,,,,,biz
biz-生产,生产,shēngchǎn,动,sinh sản,"sản xuất, chế tạo",2026-06-14 08:28:21.018263+00,Bai 8,0,10,,,,,,biz
biz-生产线,生产线,shēngchǎnxiàn,名,sinh sản tuyến,dây chuyền sản xuất,2026-06-14 08:28:21.396306+00,Bai 8,0,10,,,,,,biz
biz-生气,生气,shēngqì,动,sinh khí,"tức giận, nổi giận",2026-06-14 08:29:10.58505+00,Bai 9,0,10,,,,,,biz
biz-生理,生理,shēnglǐ,名,sinh lý,"sinh lý, chức năng cơ thể",2026-06-14 08:28:35.329433+00,Bai 8,0,10,,,,,,biz
biz-用来,用来,yònglái,动,dụng lai,"dùng để, được sử dụng để",2026-06-14 08:28:52.7411+00,Bai 9,0,10,,,,,,biz
biz-电台,电台,diàntái,名,điện đài,"đài phát thanh, radio",2026-06-14 08:28:03.79609+00,Bài 6,0,10,,,,,,biz
biz-电器配件,电器配件,diànqì pèijiàn,短,điện khí phối kiện,linh kiện thiết bị điện,2026-06-14 08:29:25.798836+00,Bài 10,0,10,,,,,,biz
biz-电子,电子,diànzǐ,名,điện tử,"điện tử, electron",2026-06-14 08:28:27.068842+00,Bai 8,0,10,,,,,,biz
biz-电源插头,电源插头,diànyuán chātóu,短,điện nguyên sáp đầu,"phích cắm điện, đầu cắm nguồn",2026-06-14 08:29:07.909349+00,Bai 9,0,10,,,,,,biz
biz-电视,电视,diàn shì,名,điện thị,"tivi, truyền hình",2026-06-14 08:28:03.92082+00,Bài 6,0,10,,,,,,biz
biz-电能,电能,diàn néng,名,điện năng,năng lượng điện,2026-06-14 08:28:55.803324+00,Bai 9,0,10,,,,,,biz
biz-电脑,电脑,diàn nǎo,名,điện não,máy tính,2026-06-14 08:28:54.093353+00,Bai 9,0,10,,,,,,biz
biz-电芯,电芯,diàn xīn,名,điện tâm,"pin tế bào, cell pin",2026-06-14 08:28:54.953104+00,Bai 9,0,10,,,,,,biz
biz-畅所欲言,畅所欲言,chàng suǒ yù yán,语,sướng sở dục ngôn,"nói thẳng, nói hết lòng",2026-06-14 08:28:09.853801+00,Bài 6,0,10,,,,,,biz
biz-留下,留下,liú xia,动,lưu hạ,"ở lại, để lại",2026-06-14 08:28:37.822395+00,Bai 8,0,10,,,,,,biz
biz-留住,留住,liú zhù,动,lưu trú,"giữ lại, không để đi",2026-06-14 08:27:58.661436+00,Bài 6,0,10,,,,,,biz
biz-白色,白色,bái sè,名,bạch sắc,màu trắng,2026-06-14 08:28:28.273928+00,Bai 8,0,10,,,,,,biz
biz-白领,白领,bái lǐng,名,bạch lĩnh,"nhân viên văn phòng, cổ trắng",2026-06-14 08:27:47.220761+00,Bài 6,0,10,,,,,,biz
biz-盈利,盈利,yíng lì,动,doanh lợi,"có lãi, kiếm lợi nhuận",2026-06-14 08:29:05.297307+00,Bai 9,0,10,,,,,,biz
biz-盒饭,盒饭,hé fàn,名,hạch phạn,cơm hộp,2026-06-14 08:27:45.764056+00,Bài 6,0,10,,,,,,biz
biz-目光,目光,mù guāng,名,mục quang,"ánh mắt, tầm nhìn",2026-06-14 08:29:12.24739+00,Bai 9,0,10,,,,,,biz
biz-目前,目前,mù qián,名,mục tiền,"hiện nay, hiện tại",2026-06-14 08:27:44.520964+00,Bài 6,0,10,,,,,,biz
biz-目前为止,目前为止,mù qián wéi zhǐ,短,mục tiền vi chỉ,cho đến hiện nay,2026-06-14 08:29:27.266555+00,Bài 10,0,10,,,,,,biz
biz-目标,目标,mù biāo,名,mục tiêu,"mục tiêu, đích",2026-06-14 08:28:14.464428+00,Bài 6,0,10,,,,,,biz
biz-直接,直接,zhí jiē,形,trực tiếp,trực tiếp,2026-06-14 08:28:02.658893+00,Bài 6,0,10,,,,,,biz
biz-直视,直视,zhí shì,动,trực thị,"nhìn thẳng, nhìn trực tiếp",2026-06-14 08:29:14.107062+00,Bai 9,0,10,,,,,,biz
biz-相信,相信,xiāng xìn,动,tương tín,"tin tưởng, tin vào",2026-06-14 08:29:04.53592+00,Bai 9,0,10,,,,,,biz
biz-相关,相关,xiāng guān,动,tương quan,"có liên quan, liên quan",2026-06-14 08:27:59.163791+00,Bài 6,0,10,,,,,,biz
biz-相反,相反,xiāng fǎn,形,tương phản,"ngược lại, trái ngược",2026-06-14 08:28:25.733029+00,Bai 8,0,10,,,,,,biz
biz-相得益彰,相得益彰,xiāng dé yì zhāng,语,tương đắc ích chương,"bổ sung cho nhau, cùng tôn lên",2026-06-14 08:28:05.561324+00,Bài 6,0,10,,,,,,biz
biz-相结合,相结合,xiāng jié hé,动,tương kết hợp,kết hợp với nhau,2026-06-14 08:28:05.312255+00,Bài 6,0,10,,,,,,biz
biz-看法,看法,kàn fǎ,名,khán pháp,"quan điểm, cách nhìn",2026-06-14 08:28:59.995781+00,Bai 9,0,10,,,,,,biz
biz-看看,看看,kàn kan,动,khán khán,"nhìn xem, xem thử",2026-06-14 08:29:00.976405+00,Bai 9,0,10,,,,,,biz
biz-真的,真的,zhēn de,副,chân đích,"thật sự, thực sự",2026-06-14 08:28:57.130086+00,Bai 9,0,10,,,,,,biz
biz-真诚,真诚,zhēn chéng,形,chân thành,"chân thành, thật lòng",2026-06-14 08:28:06.758036+00,Bài 6,0,10,,,,,,biz
biz-眼中,眼中,yǎn zhōng,名,nhãn trung,"trong mắt, trong con mắt",2026-06-14 08:29:18.010259+00,Bai 9,0,10,,,,,,biz
biz-眼睛,眼睛,yǎn jing,名,nhãn tinh,"mắt, đôi mắt",2026-06-14 08:29:15.13692+00,Bai 9,0,10,,,,,,biz
biz-眼里,眼里,yǎn lǐ,名,nhãn lý,"trong mắt, trong lòng mắt",2026-06-14 08:29:24.427782+00,Bai 9,0,10,,,,,,biz
biz-眼镜,眼镜,yǎn jìng,名,nhãn kính,kính mắt,2026-06-14 08:28:49.247094+00,Bai 8,0,10,,,,,,biz
biz-知名度,知名度,zhīmíngdù,名,tri danh độ,mức độ nổi tiếng,2026-06-14 08:29:04.136782+00,Bai 9,0,10,,,,,,biz
biz-知道,知道,zhīdào,动,tri đạo,"biết, hiểu",2026-06-14 08:28:24.018689+00,Bai 8,0,10,,,,,,biz
biz-短处,短处,duǎnchù,名,đoản xứ,"điểm yếu, nhược điểm",2026-06-14 08:29:35.756144+00,Bài 10,0,10,,,,,,biz
biz-短时间,短时间,duǎn shíjiān,名,đoản thời gian,thời gian ngắn,2026-06-14 08:27:59.790069+00,Bài 6,0,10,,,,,,biz
biz-研发部,研发部,yánfā bù,名,nghiên phát bộ,phòng nghiên cứu và phát triển,2026-06-14 08:28:17.934119+00,Bai 8,0,10,,,,,,biz
biz-研究,研究,yánjiū,动,nghiên cứu,"nghiên cứu, tìm hiểu",2026-06-14 08:28:00.161953+00,Bài 6,0,10,,,,,,biz
biz-研究员,研究员,yánjiūyuán,名,nghiên cứu viên,"nhà nghiên cứu, nghiên cứu viên",2026-06-14 08:28:18.917783+00,Bai 8,0,10,,,,,,biz
biz-研究法,研究法,yánjiū fǎ,名,nghiên cứu pháp,phương pháp nghiên cứu,2026-06-14 08:28:09.340797+00,Bài 6,0,10,,,,,,biz
biz-研究者,研究者,yánjiūzhě,名,nghiên cứu giả,người nghiên cứu,2026-06-14 08:28:05.055148+00,Bài 6,0,10,,,,,,biz
biz-确保,确保,quèbǎo,动,xác bảo,"đảm bảo, bảo đảm chắc chắn",2026-06-14 08:29:45.743902+00,Bài 10,0,10,,,,,,biz
biz-确定,确定,quèdìng,动,xác định,"xác định, khẳng định",2026-06-14 08:29:01.600565+00,Bai 9,0,10,,,,,,biz
biz-确实,确实,quèshí,副,xác thực,"thực sự, quả thật",2026-06-14 08:28:52.614352+00,Bai 9,0,10,,,,,,biz
biz-示意,示意,shìyì,动,thị ý,"ra hiệu, ngụ ý",2026-06-14 08:29:22.319074+00,Bai 9,0,10,,,,,,biz
biz-礼仪,礼仪,lǐyí,名,lễ nghi,"lễ nghi, nghi thức",2026-06-14 08:29:19.209734+00,Bai 9,0,10,,,,,,biz
biz-社交,社交,shèjiāo,名,xã giao,giao tiếp xã hội,2026-06-14 08:28:30.844652+00,Bai 8,0,10,,,,,,biz
biz-社会,社会,shèhuì,名,xã hội,xã hội,2026-06-14 08:28:35.575498+00,Bai 8,0,10,,,,,,biz
biz-社会活动,社会活动,shèhuì huódòng,名,xã hội hoạt động,hoạt động xã hội,2026-06-14 08:28:30.968418+00,Bai 8,0,10,,,,,,biz
biz-视其为,视其为,shì qí wéi,短,thị kỳ vi,"coi nó là, xem như là",2026-06-14 08:28:43.076273+00,Bai 8,0,10,,,,,,biz
biz-视频会议,视频会议,shìpín huìyì,名,thị tần hội nghị,"hội nghị trực tuyến, video call",2026-06-14 08:28:17.072443+00,Bai 8,0,10,,,,,,biz
biz-积极,积极,jījí,形,tích cực,"tích cực, chủ động",2026-06-14 08:28:07.058013+00,Bài 6,0,10,,,,,,biz
biz-移动,移动,yídòng,动,di động,"di chuyển, di động",2026-06-14 08:29:07.778879+00,Bai 9,0,10,,,,,,biz
biz-税务,税务,shuìwù,名,thuế vụ,"thuế vụ, công việc thuế",2026-06-14 08:28:27.43234+00,Bai 8,0,10,,,,,,biz
biz-稳定,稳定,wěndìng,形,ổn định,"ổn định, vững chắc",2026-06-14 08:29:36.513351+00,Bài 10,0,10,,,,,,biz
biz-稳步发展,稳步发展,wěnbù fāzhǎn,语,ổn bộ phát triển,phát triển ổn định từng bước,2026-06-14 08:29:46.055287+00,Bài 10,0,10,,,,,,biz
biz-穿着,穿着,chuānzhuó,名,xuyên trước,"cách ăn mặc, trang phục",2026-06-14 08:28:38.815915+00,Bai 8,0,10,,,,,,biz
biz-窍门,窍门,qiàomén,名,khiếu môn,"bí quyết, mẹo vặt",2026-06-14 08:29:45.338488+00,Bài 10,0,10,,,,,,biz
biz-竞争力,竞争力,jìngzhēnglì,名,cạnh tranh lực,"sức cạnh tranh, năng lực cạnh tranh",2026-06-14 08:27:48.463789+00,Bài 6,0,10,,,,,,biz
biz-笑脸,笑脸,xiàoliǎn,名,tiếu kiểm,khuôn mặt tươi cười,2026-06-14 08:29:21.693611+00,Bai 9,0,10,,,,,,biz
biz-符合,符合,fúhé,动,phù hợp,"phù hợp, đáp ứng",2026-06-14 08:27:52.640433+00,Bài 6,0,10,,,,,,biz
